id,title
hüccet,hüccet
summary_Croatian,summary_Croatian
EMIN_zabt_temessük,EMIN_zabt_temessük
sumamry_Croatian,sumamry_Croatian
ʿarz-ı_hāl,ʿarz-ı_hāl
buyuruldu,buyuruldu
iʿlām,iʿlām
mürāsele,mürāsele
EMIN_zabt_tezkire,EMIN_zabt_tezkire
zabt_tezkire,zabt_tezkire
tapu_senedi,tapu_senedi
tuğra,tuğra
EMIN,EMIN
tapu_sened_sūret,tapu_sened_sūret
fermān_hatt-ı_hümāyūn_sūret,fermān_hatt-ı_hümāyūn_sūret
Croatian,Croatian
sened,sened
hüccet_sūret,hüccet_sūret
nāme,nāme
makbūz,makbūz
EMIN_tapu,EMIN_tapu
stamp,stamp
EMIN_sūret,EMIN_sūret
stamp_sūret,stamp_sūret
unknown,unknown
EMIN_temessük,EMIN_temessük
EMIN_tapu_nāme,EMIN_tapu_nāme
ʿarz-ı_hāl_buyuruldu_sūret,ʿarz-ı_hāl_buyuruldu_sūret
ʿarz-ı_hāl_sūret,ʿarz-ı_hāl_sūret
buyuruldu_sūret,buyuruldu_sūret
summary_Crotatian,summary_Crotatian
hüccet_varaka,hüccet_varaka
zabt_temessük,zabt_temessük
yafta,yafta
ʿilmühaber_tapu_senedi_sūret,ʿilmühaber_tapu_senedi_sūret
izin,izin
tahvīl,tahvīl
fetvā,fetvā
beyāz_üzerine_buyuruldu,beyāz_üzerine_buyuruldu
tezkire_dīvānī,tezkire_dīvānī
ʿilmühaber_tapu_senedi,ʿilmühaber_tapu_senedi
note,note
ʿilmühaber,ʿilmühaber
ʿilmühaber_sūret,ʿilmühaber_sūret
cizye_senedi,cizye_senedi
EMIN_varaka,EMIN_varaka
takrīr,takrīr
takrīr_tercüme_sūret,takrīr_tercüme_sūret
iʿlām_sūret,iʿlām_sūret
fermān_sūret,fermān_sūret
unkown,unkown
summary_Serbian,summary_Serbian
‘öşr_bedeli_defteri,‘öşr_bedeli_defteri
tapu_nāme,tapu_nāme
summery_Croatian,summery_Croatian
summary_Craotian,summary_Craotian
ʿarz-ı_hāl_buyuruldu_iʿlām_sūret,ʿarz-ı_hāl_buyuruldu_iʿlām_sūret
mazbata,mazbata
unknown_sūret,unknown_sūret
計算書,計算書
tezkire,tezkire
defter,defter
serbian,serbian
temessük,temessük
şukka,şukka
tapu,tapu
izin_belgesi,izin_belgesi
mürāsele_sūret,mürāsele_sūret
hüccet_note,hüccet_note
from,from
beyaz_üzerine_buyuruldu,beyaz_üzerine_buyuruldu
tuğura,tuğura
fermān,fermān
translation_Croatian,translation_Croatian
tezkire_ruhsatiye_esnaf,tezkire_ruhsatiye_esnaf
EMIN_zabt_,EMIN_zabt_
ʿedā_senedi,ʿedā_senedi
EMIN_tezkire,EMIN_tezkire
mektūb,mektūb
EMIN_tahvīl,EMIN_tahvīl
mukāvele_senedi,mukāvele_senedi
tapu_senedi_sūret,tapu_senedi_sūret
tuğra_sūret,tuğra_sūret
kā'ime,kā'ime
şükka,şükka
memo,memo
cizye_tezkiresi,cizye_tezkiresi
kassām_deftrei,kassām_deftrei
kassām_defteri,kassām_defteri
tezkire-i_dīvānī,tezkire-i_dīvānī
takvīm-i_vekāyi,takvīm-i_vekāyi
note_Croatian,note_Croatian
kâğıt,kâğıt
unkonown_Croatian,unkonown_Croatian
summary_Ottoman,summary_Ottoman
emr_nāme_ṣūret,emr_nāme_ṣūret
EMIN_mektūb,EMIN_mektūb
summary_Cratian,summary_Cratian
summry_Croatian,summry_Croatian
zabt_nāme,zabt_nāme
berāt,berāt
zabtnāme_sūret,zabtnāme_sūret
edā_tahvīl,edā_tahvīl
tapu_tezkire,tapu_tezkire
mürūr_tezkiresi,mürūr_tezkiresi
EMIN_temessük_zabt,EMIN_temessük_zabt
summay_Croatian,summay_Croatian
emirnāme_sūret,emirnāme_sūret
tasdīk,tasdīk
summay_Crotatioan,summay_Crotatioan
maʿarifet_tezkire,maʿarifet_tezkire
beyāz_üzerine_buyuruldu_sūret,beyāz_üzerine_buyuruldu_sūret
tapu_sūret,tapu_sūret
mülāsele,mülāsele
zabtnāme,zabtnāme
_sūret,_sūret
Kassām_defteri,Kassām_defteri
summary_Croatinan,summary_Croatinan
hüccet_simple,hüccet_simple
EMIN_zemin_tezkire,EMIN_zemin_tezkire
